#   Isochrone  Z = 0.02124   Y = 0.28667   [M/H] = 0.171   eta_R = 0.200   Age =    1.2589e+07 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.021238   7.1000   2.20000005   2.2000   1.3581   3.9863   4.3193   1.375   1.511   1.560   1.552   1.559   1.572   1.600   1.609   1.613   3.27936959   1
   0.021238   7.1000   2.25740385   2.2574   1.4036   3.9948   4.3192   1.261   1.401   1.472   1.478   1.490   1.508   1.546   1.559   1.566   3.28185964   1
   0.021238   7.1000   2.31480742   2.3148   1.4471   4.0031   4.3196   1.152   1.296   1.390   1.408   1.425   1.448   1.495   1.511   1.520   3.28419662   1
   0.021238   7.1000   2.42961526   2.4296   1.5304   4.0185   4.3192   0.944   1.097   1.238   1.275   1.299   1.331   1.395   1.417   1.430   3.28846240   1
   0.021238   7.1000   2.62961507   2.6296   1.6658   4.0433   4.3175   0.606   0.781   0.998   1.061   1.094   1.138   1.228   1.258   1.279   3.29479408   1
   0.021238   7.1000   2.82961512   2.8296   1.7913   4.0659   4.3139   0.292   0.494   0.782   0.863   0.903   0.956   1.068   1.105   1.132   3.29999113   1
   0.021238   7.1000   3.02961516   3.0296   1.9080   4.0863   4.3086   -0.000   0.232   0.585   0.679   0.724   0.783   0.916   0.958   0.989   3.30431366   1
   0.021238   7.1000   3.22961521   3.2296   2.0158   4.1048   4.3025   -0.269   -0.004   0.404   0.510   0.558   0.624   0.773   0.819   0.855   3.30795145   1
   0.021238   7.1000   3.42961526   3.4296   2.1168   4.1219   4.2962   -0.522   -0.217   0.237   0.353   0.405   0.476   0.640   0.690   0.729   3.31103110   1
   0.021238   7.1000   3.62961507   3.6296   2.2119   4.1379   4.2894   -0.760   -0.413   0.082   0.207   0.263   0.339   0.515   0.569   0.611   3.31365967   1
   0.021238   7.1000   3.82961512   3.8296   2.3014   4.1527   4.2825   -0.983   -0.596   -0.064   0.069   0.128   0.209   0.396   0.454   0.498   3.31592298   1
   0.021238   7.1000   4.02961493   4.0296   2.3861   4.1666   4.2757   -1.195   -0.766   -0.202   -0.062   0.001   0.086   0.283   0.344   0.391   3.31788683   1
   0.021238   7.1000   4.22961521   4.2296   2.4665   4.1795   4.2680   -1.396   -0.927   -0.335   -0.187   -0.122   -0.033   0.174   0.238   0.286   3.31959629   1
   0.021238   7.1000   4.24965191   4.2497   2.4743   4.1808   4.2672   -1.416   -0.942   -0.348   -0.200   -0.133   -0.044   0.163   0.227   0.276   3.31975532   1
   0.021238   7.1000   4.42961502   4.4296   2.5433   4.1919   4.2609   -1.588   -1.078   -0.460   -0.306   -0.237   -0.144   0.071   0.136   0.188   3.32109213   1
   0.021238   7.1000   4.54639721   4.5464   2.5863   4.1988   4.2566   -1.696   -1.163   -0.531   -0.374   -0.302   -0.207   0.013   0.080   0.132   3.32188082   1
   0.021238   7.1000   4.62961483   4.6296   2.6165   4.2037   4.2537   -1.771   -1.221   -0.580   -0.420   -0.348   -0.252   -0.028   0.040   0.093   3.32240891   1
   0.021238   7.1000   4.85923052   4.8592   2.6960   4.2161   4.2450   -1.970   -1.377   -0.712   -0.546   -0.470   -0.370   -0.138   -0.067   -0.011   3.32373548   1
   0.021238   7.1000   5.05923033   5.0592   2.7627   4.2266   4.2377   -2.137   -1.507   -0.822   -0.650   -0.572   -0.468   -0.229   -0.157   -0.099   3.32475471   1
   0.021238   7.1000   5.25923014   5.2592   2.8267   4.2364   4.2298   -2.297   -1.632   -0.929   -0.752   -0.671   -0.565   -0.319   -0.245   -0.185   3.32566357   1
   0.021238   7.1000   5.45923042   5.4592   2.8885   4.2459   4.2221   -2.451   -1.752   -1.032   -0.851   -0.767   -0.658   -0.406   -0.329   -0.268   3.32647634   1
   0.021238   7.1000   5.65923023   5.6592   2.9480   4.2549   4.2145   -2.600   -1.869   -1.131   -0.946   -0.861   -0.748   -0.490   -0.412   -0.349   3.32720637   1
   0.021238   7.1000   5.85923052   5.8592   3.0054   4.2635   4.2065   -2.743   -1.981   -1.228   -1.039   -0.951   -0.836   -0.573   -0.493   -0.428   3.32786441   1
