#   Isochrone  Z = 0.00424   Y = 0.25643   [M/H] = -0.558   eta_R = 0.200   Age =    5.0120e+08 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.004237   8.7000   2.47792506   2.4779   2.1612   4.0376   3.7732   -0.633   -0.455   -0.235   -0.165   -0.138   -0.105   -0.029   -0.005   0.014   3.29011106   1
   0.004237   8.7000   2.47815275   2.4782   2.1773   4.0461   3.7911   -0.673   -0.482   -0.237   -0.161   -0.132   -0.096   -0.010   0.015   0.037   3.29011869   2
   0.004237   8.7000   2.47818375   2.4782   2.1727   4.0452   3.7924   -0.662   -0.471   -0.229   -0.154   -0.125   -0.089   -0.004   0.021   0.042   3.29011965   2
   0.004237   8.7000   2.47829437   2.4783   2.1407   4.0357   3.7864   -0.582   -0.404   -0.192   -0.123   -0.097   -0.064   0.010   0.033   0.052   3.29012346   2
   0.004237   8.7000   2.47838998   2.4784   2.1231   4.0241   3.7576   -0.538   -0.375   -0.198   -0.138   -0.115   -0.087   -0.026   -0.006   0.010   3.29012656   2
   0.004237   8.7000   2.47849441   2.4785   2.1274   4.0127   3.7077   -0.549   -0.399   -0.257   -0.204   -0.185   -0.163   -0.114   -0.098   -0.086   3.29013014   2
   0.004237   8.7000   2.47862315   2.4786   2.1433   4.0012   3.6456   -0.588   -0.450   -0.344   -0.300   -0.284   -0.268   -0.232   -0.221   -0.211   3.29013443   2
   0.004237   8.7000   2.47877383   2.4788   2.1574   3.9895   3.5846   -0.624   -0.494   -0.423   -0.388   -0.379   -0.369   -0.347   -0.340   -0.333   3.29013944   2
   0.004237   8.7000   2.47894287   2.4789   2.1668   3.9777   3.5282   -0.647   -0.521   -0.486   -0.463   -0.459   -0.456   -0.450   -0.448   -0.444   3.29014492   2
   0.004237   8.7000   2.47912908   2.4791   2.1727   3.9658   3.4750   -0.662   -0.536   -0.536   -0.527   -0.530   -0.535   -0.544   -0.548   -0.548   3.29015112   2
   0.004237   8.7000   2.47932935   2.4793   2.1761   3.9539   3.4239   -0.670   -0.542   -0.573   -0.580   -0.591   -0.607   -0.632   -0.643   -0.646   3.29015779   2
   0.004237   8.7000   2.47953892   2.4795   2.1776   3.9419   3.3744   -0.674   -0.539   -0.599   -0.624   -0.646   -0.672   -0.715   -0.735   -0.740   3.29016471   2
   0.004237   8.7000   2.47975278   2.4798   2.1776   3.9298   3.3261   -0.674   -0.528   -0.613   -0.658   -0.693   -0.732   -0.793   -0.823   -0.831   3.29017186   2
   0.004237   8.7000   2.47996593   2.4800   2.1765   3.9177   3.2788   -0.671   -0.507   -0.609   -0.679   -0.730   -0.785   -0.867   -0.909   -0.919   3.29017901   2
   0.004237   8.7000   2.48017406   2.4802   2.1742   3.9055   3.2323   -0.666   -0.481   -0.593   -0.691   -0.761   -0.833   -0.936   -0.993   -1.005   3.29018593   2
   0.004237   8.7000   2.48037434   2.4804   2.1711   3.8933   3.1866   -0.658   -0.450   -0.564   -0.694   -0.786   -0.877   -1.003   -1.075   -1.089   3.29019260   2
   0.004237   8.7000   2.48056459   2.4806   2.1672   3.8810   3.1415   -0.648   -0.416   -0.522   -0.689   -0.804   -0.916   -1.066   -1.157   -1.172   3.29019880   2
   0.004237   8.7000   2.48074412   2.4807   2.1626   3.8688   3.0971   -0.637   -0.378   -0.472   -0.677   -0.817   -0.951   -1.126   -1.236   -1.254   3.29020476   2
   0.004237   8.7000   2.48091221   2.4809   2.1574   3.8565   3.0533   -0.623   -0.337   -0.417   -0.659   -0.825   -0.981   -1.181   -1.315   -1.333   3.29021049   2
   0.004237   8.7000   2.48106933   2.4811   2.1515   3.8442   3.0100   -0.609   -0.291   -0.358   -0.635   -0.827   -1.006   -1.233   -1.391   -1.411   3.29021573   2
   0.004237   8.7000   2.48121595   2.4812   2.1451   3.8320   2.9674   -0.593   -0.241   -0.294   -0.608   -0.825   -1.027   -1.282   -1.465   -1.487   3.29022050   2
   0.004237   8.7000   2.48135328   2.4814   2.1380   3.8197   2.9255   -0.575   -0.181   -0.225   -0.577   -0.820   -1.044   -1.328   -1.537   -1.561   3.29022503   2
   0.004237   8.7000   2.48148417   2.4815   2.1303   3.8075   2.8846   -0.556   -0.113   -0.150   -0.542   -0.810   -1.057   -1.370   -1.605   -1.631   3.29022932   2
   0.004237   8.7000   2.48161983   2.4816   2.1209   3.7954   2.8453   -0.532   -0.031   -0.065   -0.500   -0.795   -1.064   -1.406   -1.668   -1.697   3.29023385   2
   0.004237   8.7000   2.48177528   2.4818   2.1081   3.7828   2.8079   -0.500   0.066   0.041   -0.442   -0.767   -1.060   -1.432   -1.718   -1.754   3.29023910   2
   0.004237   8.7000   2.48198628   2.4820   2.0864   3.7694   2.7759   -0.446   0.206   0.176   -0.359   -0.716   -1.033   -1.443   -1.765   -1.805   3.29024601   2
   0.004237   8.7000   2.48218203   2.4822   2.0608   3.7598   2.7632   -0.382   0.337   0.295   -0.276   -0.651   -0.986   -1.421   -1.765   -1.809   3.29025245   2
   0.004237   8.7000   2.48238015   2.4824   2.0295   3.7515   2.7613   -0.304   0.479   0.422   -0.180   -0.571   -0.920   -1.378   -1.743   -1.790   3.29025912   2
